id,inhabitant per km^2
3214,360.69
416,46.92
4235,193.83
668,108.56
875,106.99
876,477.4
4831,329.22
4107,335.56
2428,68.88
546,1117.64
2769,1657.24
669,194.33
4172,363.71
4746,676.51
616,969.79
6074,9.26
4691,592.41
498,273.16
6007,66.63
1137,687.67
3378,81.57
88,507.83
223,365.34
5206,371.59
6024,73.33
2789,115.07
3360,38.93
6458,1867.31
2404,288.36
670,236.52
4034,1629.94
1093,261.0
2937,1279.28
1705,271.28
4601,84.77
2904,116.55
2211,464.26
743,4575.0
981,259.26
2405,204.37
3422,96.02
2891,404.52
6198,39.12
89,1324.17
2495,867.9
90,804.6
3423,184.65
617,112.64
4204,1385.98
877,64.31
588,80.89
4035,1102.39
6064,10.04
91,414.68
4072,453.95
982,590.29
417,50.87
724,28.01
878,110.95
2213,90.68
1094,350.24
5207,191.03
5564,49.51
5260,464.22
5408,99.61
3693,5.56
2478,234.12
2621,182.7
2854,148.85
2035,102.77
5724,2927.7
64,541.92
357,71.5
983,195.41
2406,232.94
418,205.58
3424,240.54
619,213.33
2892,385.69
1508,191.95
2553,138.41
3111,130.54
65,105.99
6112,2.49
245,3071.96
4010,1069.9
2528,730.92
92,828.43
6076,4.17
2497,610.74
2972,72.88
3375,102.04
4173,73.41
934,872.92
629,52.75
1368,26.74
1095,474.29
4140,286.08
935,51.92
4073,586.89
4256,210.32
589,22.31
137,1818.05
3254,252.52
4037,935.5
4237,283.68
3612,13.47
2298,224.86
4038,1026.28
36,125.16
334,104.86
620,69.65
3407,449.12
93,368.85
2771,1409.14
391,123.33
766,17.83
4074,412.1
1706,197.54
419,49.06
10,663.44
985,47.43
2529,329.39
2407,515.2
335,61.79
4175,213.83
157,769.03
246,855.23
4280,1029.45
5680,83.48
5409,124.76
4257,77.22
2581,1548.83
2855,66.95
6631,6581.98
5565,96.49
5136,8.2
66,3318.54
5923,50.14
622,193.53
5757,570.83
5924,68.41
5208,681.99
2856,304.61
5410,17.48
5411,24.01
5493,68.06
5805,215.81
744,677.22
5121,386.73
6034,19.26
438,55.22
5925,50.48
5286,55.82
37,108.77
363,2807.19
94,386.13
4205,571.4
11,515.66
5529,90.46
5530,93.04
5494,101.53
5210,4659.77
5588,2984.0
5822,390.34
5495,842.08
5496,427.98
5531,68.37
6632,1191.76
701,50.41
5860,512.24
5076,8.81
6412,1715.07
716,17.3
1139,144.1
2772,487.01
224,757.26
4841,147.72
3294,12.25
177,587.63
5014,74.97
2216,27.47
392,486.02
2299,33.36
6633,1780.38
2300,56.38
726,79.42
6719,20.12
936,25.35
5533,162.67
5077,125.17
5497,188.29
5926,130.77
2122,178.39
2147,136.57
5212,300.96
5213,1956.1
2217,115.1
