commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Cademario,747,0.2,0.21,0.36,0.22,0.49,0.83
Cadempino,1511,0.19,0.27,0.38,0.16,0.5,0.72
Cadenazzo,2544,0.2,0.3,0.38,0.12,0.51,0.62
Calanca,206,0.1,0.22,0.44,0.24,0.54,0.84
Cama,562,0.17,0.27,0.37,0.19,0.5,0.81
Camorino,2748,0.19,0.26,0.38,0.17,0.51,0.82
Campo (Vallemaggia),51,0.02,0.22,0.55,0.22,0.55,0.86
Canobbio,2065,0.19,0.25,0.37,0.2,0.48,0.78
Capriasca,6458,0.19,0.24,0.38,0.19,0.5,0.89
Carouge (GE),20627,0.19,0.34,0.33,0.14,0.48,0.62
Carrouge (VD),1093,0.25,0.28,0.37,0.11,0.5,0.81
Cartigny,861,0.22,0.24,0.36,0.19,0.51,0.79
Caslano,4254,0.18,0.22,0.37,0.22,0.47,0.72
Castaneda,240,0.15,0.18,0.36,0.31,0.42,0.92
Castel San Pietro,2069,0.17,0.23,0.38,0.22,0.5,0.88
Casti-Wergenstein,53,0.13,0.3,0.43,0.13,0.6,0.89
Cazis,2170,0.18,0.26,0.39,0.17,0.51,0.83
Celerina/Schlarigna,1488,0.17,0.24,0.4,0.18,0.48,0.66
Centovalli,1175,0.13,0.21,0.39,0.27,0.49,0.9
Cerentino,61,0.16,0.13,0.43,0.28,0.51,0.85
Cevio,1163,0.15,0.22,0.39,0.23,0.49,0.85
Chalais,3286,0.18,0.27,0.36,0.19,0.5,0.84
Cham,15375,0.19,0.29,0.38,0.14,0.5,0.77
Chamblon,581,0.18,0.28,0.41,0.13,0.54,0.87
Chamoson,3364,0.18,0.26,0.37,0.19,0.5,0.81
Champagne,1000,0.23,0.33,0.34,0.1,0.5,0.82
Champoz,157,0.2,0.31,0.34,0.14,0.46,0.98
Champtauroz,137,0.29,0.2,0.31,0.2,0.55,0.87
Champvent,589,0.25,0.28,0.34,0.13,0.5,0.86
Champéry,1256,0.13,0.26,0.36,0.25,0.52,0.75
Chancy,1373,0.29,0.27,0.34,0.1,0.51,0.77
